Time Range,Flag,Geartype,Vessel IDs,Vessel Presence Hours
2024-03-06,THA,,24,290.00
2024-03-07,IRN,,13,107.00
2024-03-06,CHN,,121,1917.00
2024-03-07,VNM,,84,1451.00
2024-03-06,COK,,7,138.00
2024-03-06,SAU,,8,40.00
2024-03-06,NIU,,4,71.00
2024-03-06,TZA,,7,87.00
2024-03-06,PHL,,7,119.00
2024-03-07,KNA,,5,79.00
2024-03-08,BLZ,,25,469.00
2024-03-08,CHE,,1,24.00
2024-03-08,CHN,,129,2160.00
2024-03-08,IDN,,5759,82062.00
2024-03-08,MHL,,233,3649.00
2024-03-08,MLT,,68,1146.00
2024-03-08,MYS,,79,919.00
2024-03-08,PAN,,442,7158.00
2024-03-08,SLE,,14,174.00
2024-02-04,FRO,,11,88.00
2024-02-09,FRO,,12,123.00
2024-02-17,FRO,,9,45.00
2024-02-24,CPV,,4,24.00
2024-02-15,GBR,,22,304.00
2024-02-12,BHS,,34,540.00
2024-02-06,JPN,,31,496.00
2024-02-03,FRO,,9,79.00
2024-02-16,IND,,7,73.00
2024-02-18,MNG,,11,57.00
2024-02-14,ATG,,6,74.00
2024-02-25,BHS,,42,565.00
2024-02-11,IRN,,8,105.00
2024-02-04,CYM,,9,159.00
2024-02-04,THA,,23,250.00
2024-02-07,SLE,,13,195.00
2024-02-02,KOR,,35,524.00
2024-02-20,SLE,,12,158.00
2024-02-22,PRT,,28,391.00
2024-02-15,CYP,,26,368.00
2024-02-01,NOR,,15,229.00
2024-02-18,TZA,,8,110.00
2024-02-13,PNG,,1,19.00
2024-02-22,GRC,,27,457.00
2024-02-10,JPN,,31,450.00
2024-02-02,BGD,,17,272.00
2024-02-16,BGD,,16,288.00
2024-02-12,DEU,,6,67.00
2024-02-19,DNK,,18,297.00
2024-02-24,DNK,,18,207.00
2024-02-06,ETH,,1,11.00
2024-02-08,GRC,,29,437.00
2024-02-04,IRN,,10,106.00
2024-02-13,KOR,,35,526.00
2024-02-16,KWT,,2,20.00
2024-02-15,KWT,,2,26.00
2024-02-15,SAU,,6,67.00
2024-02-07,SWE,,1,24.00
2024-02-22,KHM,,1,9.00
2024-02-01,BHS,,41,653.00
2024-02-20,PRT,,22,330.00
2024-02-01,KOR,,38,490.00
2024-02-24,GRC,,25,359.00
2024-02-14,JPN,,38,467.00
2024-02-25,GBR,,24,327.00
2024-02-07,BRN,,1,10.00
2024-02-07,DJI,,1,23.00
2024-02-16,KOR,,37,423.00
2024-02-14,COK,,4,69.00
2024-02-13,IND,,8,120.00
2024-02-14,DNK,,21,201.00
2024-02-16,PRT,,24,374.00
2024-02-08,GBR,,34,448.00
2024-02-23,GBR,,25,392.00
2024-02-27,GBR,,26,372.00
2024-02-28,IRN,,11,103.00
2024-02-28,PRT,,21,339.00
2024-02-27,ETH,,1,8.00
2024-02-29,TZA,,5,55.00
2024-02-27,BMU,,10,151.00
2024-02-27,CPV,,4,27.00
2024-02-27,NLD,,14,245.00
2024-02-29,FRO,,13,103.00
2024-02-26,PRT,,14,193.00
2024-02-29,TWN,,12,187.00
2024-02-27,FJI,,4,55.00
2024-02-26,ATG,,5,81.00
2024-02-26,GRC,,26,329.00
2024-02-26,FJI,,3,32.00
2024-02-29,NOR,,13,208.00
2024-02-09,BLZ,,30,481.00
2024-02-07,DMA,,1,1.00
2024-02-08,GIB,,2,39.00
2024-02-08,GNB,,3,3.00
2024-02-18,ITA,,1,21.00
2024-02-23,JOR,,2,25.00
2024-02-13,SAU,,7,113.00
2024-02-05,TZA,,9,99.00
2024-02-10,TZA,,7,63.00
2024-02-27,PLW,,5,85.00
2024-02-23,NOR,,13,198.00
2024-02-06,KOR,,32,414.00
2024-02-23,BLZ,,27,521.00
2024-02-04,BGD,,12,243.00
2024-03-01,DNK,,13,159.00
2024-03-03,USA,,10,109.00
2024-03-02,JOR,,2,12.00
2024-03-04,DNK,,16,226.00
2024-02-05,TWN,,14,161.00
2024-02-22,VNM,,67,953.00
2024-02-25,BLZ,,26,566.00
2024-02-25,ITA,,2,36.00
2024-03-01,BMU,,6,91.00
2024-03-03,TWN,,14,192.00
2024-03-04,THA,,16,215.00
2024-03-02,DNK,,12,138.00
2024-03-01,BEL,,3,62.00
2024-03-03,THA,,20,284.00
2024-03-04,MLT,,70,1100.00
2024-03-01,TGO,,3,40.00
2024-03-04,NOR,,17,234.00
2024-03-05,DNK,,18,206.00
2024-03-01,SAU,,7,81.00
2024-03-03,BRN,,1,5.00
2024-03-02,MNG,,11,139.00
2024-03-02,LUX,,6,119.00
2024-03-04,PRT,,21,354.00
2024-03-02,THA,,16,244.00
2024-03-05,MYS,,78,950.00
2024-03-03,MNG,,12,180.00
2024-03-01,NLD,,12,223.00
2024-03-03,MUS,,1,24.00
2024-02-02,JPN,,26,349.00
2024-02-18,HRV,,1,24.00
2024-02-13,BMU,,4,51.00
2024-02-02,GAB,,4,57.00
2024-02-18,TWN,,15,204.00
2024-02-05,BLZ,,25,406.00
2024-02-20,RUS,,1,24.00
2024-03-03,ERI,,1,24.00
2024-03-07,SGP,,371,4530.00
2024-03-06,DNK,,12,153.00
2024-03-05,GAB,,3,72.00
2024-03-01,GAB,,3,72.00
2024-03-06,PNG,,2,10.00
2024-03-06,GRC,,32,564.00
2024-03-07,KOR,,42,651.00
2024-03-07,NIU,,3,60.00
2024-03-07,BRN,,1,7.00
2024-03-07,IND,,10,161.00
2024-03-07,BEL,,3,36.00
2024-03-08,ALB,,1,24.00
2024-03-08,BMU,,9,196.00
2024-03-08,JPN,,30,452.00
2024-02-11,FRO,,11,92.00
2024-02-17,MLT,,66,1047.00
2024-02-10,CPV,,4,39.00
2024-02-01,SOM,,1,1.00
2024-02-14,SGP,,307,4466.00
2024-02-05,PRT,,16,256.00
2024-02-13,GBR,,19,268.00
2024-02-16,THA,,17,224.00
2024-02-06,CPV,,7,61.00
2024-02-07,PHL,,8,104.00
2024-02-10,VNM,,63,982.00
2024-02-12,ATG,,8,120.00
2024-02-03,PRT,,19,285.00
2024-02-05,BGD,,15,267.00
2024-02-25,KOR,,24,426.00
2024-02-14,MNG,,7,83.00
2024-02-12,DJI,,1,13.00
2024-02-25,DNK,,18,167.00
2024-02-21,TUV,,11,159.00
2024-02-02,BLZ,,26,426.00
2024-02-15,NOR,,14,206.00
2024-02-11,VCT,,3,27.00
2024-02-12,BEL,,3,34.00
2024-02-16,GBR,,21,353.00
2024-02-03,BEL,,4,58.00
2024-02-11,BGD,,10,215.00
2024-02-06,BGD,,14,261.00
2024-02-23,BGD,,16,273.00
2024-02-18,BRB,,4,49.00
2024-02-11,GAB,,5,111.00
2024-02-25,GNB,,1,2.00
2024-02-25,IRN,,11,100.00
2024-02-07,MUS,,2,25.00
2024-02-24,NOR,,12,196.00
2024-02-10,PLW,,7,113.00
2024-02-03,TUV,,12,183.00
2024-02-06,TWN,,14,179.00
2024-02-19,TWN,,12,153.00
2024-02-20,SAU,,6,69.00
2024-02-07,CMR,,5,55.00
2024-02-17,SAU,,6,74.00
2024-02-13,USA,,5,69.00
2024-02-24,BRN,,2,3.00
2024-02-13,SWE,,2,24.00
2024-02-13,VCT,,2,16.00
2024-02-06,KIR,,1,7.00
2024-02-26,CYM,,8,107.00
2024-02-29,CYP,,30,418.00
2024-02-29,DMA,,1,1.00
2024-02-29,CPV,,6,19.00
2024-02-26,PNG,,1,8.00
2024-02-28,NLD,,14,213.00
2024-02-26,USA,,9,119.00
2024-02-16,GNQ,,2,48.00
2024-02-19,GNQ,,2,48.00
2024-02-09,GNQ,,3,49.00
2024-02-18,GNQ,,2,48.00
2024-02-14,KNA,,1,24.00
2024-02-18,LUX,,4,96.00
2024-02-14,MNP,,1,12.00
2024-02-21,MUS,,1,24.00
2024-02-08,NLD,,12,229.00
2024-02-16,PLW,,5,119.00
2024-02-20,PLW,,5,94.00
2024-02-18,THA,,23,357.00
2024-02-25,TZA,,7,100.00
2024-02-03,USA,,8,100.00
2024-02-10,VUT,,1,3.00
2024-02-26,ERI,,2,41.00
2024-02-29,PLW,,8,115.00
2024-02-03,NLD,,12,231.00
2024-02-06,VCT,,3,54.00
2024-02-22,IND,,6,85.00
2024-02-06,GIB,,3,59.00
2024-02-12,LKA,,1,24.00
2024-02-09,ERI,,1,24.00
2024-03-01,TWN,,18,207.00
2024-03-01,IND,,6,54.00
2024-02-25,TGO,,1,17.00
2024-02-12,QAT,,1,24.00
2024-02-24,BGD,,16,228.00
2024-03-01,MYS,,95,1047.00
2024-03-02,KWT,,3,58.00
2024-03-02,VCT,,2,48.00
2024-03-02,KNA,,4,81.00
2024-03-03,FRA,,4,32.00
2024-03-02,GUY,,1,24.00
2024-03-01,PLW,,6,91.00
2024-03-05,NZL,,3,15.00
2024-02-11,CPV,,5,49.00
2024-02-06,JOR,,1,23.00
2024-02-19,TUV,,11,184.00
2024-02-15,LSO,,1,6.00
2024-02-14,JOR,,1,24.00
2024-03-03,SLE,,9,115.00
2024-03-02,FRA,,4,32.00
2024-03-05,AUS,,6,73.00
2024-03-07,MDV,,1,11.00
2024-03-06,FRO,,9,65.00
2024-03-07,THA,,23,297.00
2024-03-07,USA,,8,78.00
2024-03-06,NLD,,7,143.00
2024-03-06,IND,,12,107.00
2024-03-07,PRT,,16,240.00
2024-03-06,BGD,,10,175.00
2024-03-08,DNK,,10,115.00
2024-03-08,KNA,,4,73.00
2024-02-05,IDN,,5645,79050.00
2024-02-02,GBR,,36,549.00
2024-02-10,FRO,,12,130.00
2024-02-06,POL,,1,6.00
2024-02-23,NLD,,16,308.00
2024-02-09,ATG,,12,103.00
2024-02-06,DJI,,2,20.00
2024-02-20,STP,,1,5.00
2024-02-16,FRA,,5,56.00
2024-02-23,BEL,,4,51.00
2024-02-01,TZA,,7,93.00
2024-02-09,NOR,,13,205.00
2024-02-04,SLE,,13,170.00
2024-02-09,NLD,,13,227.00
2024-02-23,GRC,,27,361.00
2024-02-03,FRA,,4,52.00
2024-02-19,BGD,,20,320.00
2024-02-05,ITA,,2,34.00
2024-02-14,KWT,,3,31.00
2024-02-12,POL,,1,5.00
2024-02-20,EGY,,1,6.00
2024-02-08,DEU,,5,86.00
2024-02-23,IRN,,10,107.00
2024-02-09,PHL,,6,85.00
2024-02-10,SMR,,1,24.00
2024-02-09,MNG,,11,150.00
2024-02-12,MNG,,7,126.00
2024-02-21,ZAF,,2,5.00
2024-02-27,IDN,,5685,79436.00
2024-02-28,VUT,,3,38.00
2024-02-29,ATG,,6,84.00
2024-02-26,CMR,,2,23.00
2024-02-26,SSD,,1,5.00
2024-02-29,BMU,,10,167.00
2024-02-29,DNK,,14,144.00
2024-02-26,NIU,,7,66.00
2024-02-26,TZA,,8,78.00
2024-02-29,DEU,,4,61.00
2024-02-29,LSO,,1,5.00
2024-02-27,BEL,,4,74.00
2024-02-22,BRN,,1,6.00
2024-02-20,MUS,,1,24.00
2024-02-17,NLD,,14,291.00
2024-02-09,NRU,,1,24.00
2024-02-01,PHL,,10,194.00
2024-02-24,PLW,,6,94.00
2024-02-08,TUV,,15,211.00
2024-02-02,TZA,,10,133.00
2024-02-05,ZAF,,1,1.00
2024-02-26,IND,,6,79.00
2024-02-26,TGO,,2,12.00
2024-02-28,TGO,,1,20.00
2024-03-05,CYM,,7,93.00
2024-03-02,IRN,,5,71.00
2024-02-02,VCT,,6,122.00
2024-02-09,LIE,,1,24.00
2024-03-02,,,1092,5919.00
2024-03-05,BMU,,10,170.00
2024-03-02,GNQ,,2,48.00
2024-03-04,MDV,,1,13.00
2024-03-04,CPV,,5,43.00
2024-03-05,FRO,,10,67.00
2024-02-07,AUS,,9,117.00
2024-02-20,AUS,,8,70.00
2024-02-03,BMU,,6,106.00
2024-02-19,AUS,,8,64.00
2024-02-15,ALB,,1,22.00
2024-02-22,CYM,,12,177.00
2024-03-07,PAK,,1,11.00
2024-03-06,KIR,,3,44.00
2024-03-06,GAB,,3,72.00
2024-03-08,IND,,7,102.00
2024-03-08,STP,,1,17.00
2024-03-08,USA,,5,64.00
2024-02-14,PAN,,454,7276.00
2024-02-24,FRO,,9,73.00
2024-02-02,SOM,,1,2.00
2024-02-24,NLD,,13,268.00
2024-02-03,CPV,,6,47.00
2024-02-23,TWN,,10,197.00
2024-02-15,JPN,,27,482.00
2024-02-07,CPV,,6,47.00
